Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2017-01-01,"Seminole County, FL",12117,4774,29.89,38.47,38.63,3276.42,26.44,10.5
2017-01-01,"Cherokee County, GA",13057,2582,29.65,38.44,38.63,3323.24,26.51,12.2
2017-01-01,"Charlotte County, FL",12015,1060,27.59,38.35,38.46,3223.87,27.22,10.29
2017-01-01,"Brevard County, FL",12009,5201,28.57,38.5,38.71,3271.27,26.43,11.63
2017-01-01,"Manatee County, FL",12081,3476,28.23,38.49,38.71,3275.26,26.96,11.02
2017-01-01,"Unidentified Counties, AL",01999,22881,26.56,38.18,38.29,3192.85,28.23,10.61
2017-01-01,"Lee County, FL",12071,6681,28.47,38.4,38.54,3252.11,27.02,10.22
2017-01-01,"Columbia County, GA",13073,1666,29.45,38.42,38.79,3301.36,26.66,11.41
2017-01-01,"Clayton County, GA",13063,3813,27.75,38.15,38.37,3107.68,28.37,9.62
2017-01-01,"Fulton County, GA",13121,13363,29.87,38.37,38.62,3158.23,26.4,10.91
2017-01-01,"Polk County, FL",12105,7849,27.52,38.45,38.62,3264.72,27.83,10.4
2017-01-01,"Duval County, FL",12031,13182,28.29,38.29,38.45,3199.37,27.12,9.57
2017-01-01,"Houston County, AL",01069,1295,26.82,38.32,38.36,3205.3,28.89,11.34
2017-01-01,"St. Lucie County, FL",12111,3019,28.47,38.54,38.61,3257.13,27.6,9.53
2017-01-01,"Collier County, FL",12021,3182,29.32,38.35,38.44,3265.94,26.66,9.83
2017-01-01,"Lake County, FL",12069,3265,28.15,38.33,38.52,3253.9,27.14,9.93
2017-01-01,"Okaloosa County, FL",12091,2682,27.96,38.31,38.52,3263.33,26.57,11.95
2017-01-01,"Hall County, GA",13139,2616,27.96,38.39,38.52,3287.89,27.44,12.06
2017-01-01,"Miami-Dade County, FL",12086,31818,29.89,38.36,38.35,3213.78,25.82,11.83
2017-01-01,"Escambia County, FL",12033,3954,27.38,38.17,38.35,3195.34,27.46,10.44
2017-01-01,"Houston County, GA",13153,1908,27.86,38.16,38.6,3244.06,28.36,10.93
2017-01-01,"Indian River County, FL",12061,1277,28.7,38.38,38.6,3267.95,27.5,13.05
2017-01-01,"Marion County, FL",12083,3496,27.28,38.44,38.6,3225.98,27.37,9.97
2017-01-01,"Osceola County, FL",12097,4386,28.42,38.43,38.6,3237.95,26.72,11.58
2017-01-01,"St. Johns County, FL",12109,2135,30.54,38.64,38.85,3324.77,25.66,11.07
2017-01-01,"Gwinnett County, GA",13135,11442,29.81,38.4,38.43,3229.33,26.65,11.34
2017-01-01,"Bay County, FL",12005,2315,27.71,38.45,38.68,3289.99,27.26,10.36
2017-01-01,"Pinellas County, FL",12103,8230,29.09,38.53,38.68,3259.39,26.26,11
2017-01-01,"Coweta County, GA",13077,1731,28.52,38.25,38.51,3255.19,27.45,11.73
2017-01-01,"Baldwin County, AL",01003,2322,27.96,38.35,38.51,3286.81,26.74,11.28
2017-01-01,"Richmond County, GA",13245,3003,27.08,38.17,38.51,3123.47,27.78,10.93
2017-01-01,"Hernando County, FL",12053,1552,27.66,38.41,38.76,3259.19,27.61,11
2017-01-01,"Unidentified Counties, GA",13999,41417,26.82,38.17,38.34,3197.75,28.09,11.11
2017-01-01,"Clarke County, GA",13059,1386,28.57,38.38,38.42,3230.48,27.61,10.53
2017-01-01,"Citrus County, FL",12017,1108,26.62,38.48,38.67,3263.66,27.12,10.4
2018-01-01,"Calhoun County, AL",01015,1265,26.67,38.11,38.25,3168.14,28.85,10.45
2018-01-01,"Carroll County, GA",13045,1540,27.2,38.5,38.5,3253.35,27.98,10.75
2018-01-01,"Hillsborough County, FL",12057,17126,28.97,38.41,38.5,3230.36,26.75,10.64
2018-01-01,"Osceola County, FL",12097,4437,28.64,38.3,38.5,3231.13,27.08,11.4
2018-01-01,"Manatee County, FL",12081,3452,28.56,38.5,38.75,3293.64,27.28,11.04
2018-01-01,"Cherokee County, GA",13057,2562,29.75,38.46,38.75,3319.59,26.94,11.79
2018-01-01,"Henry County, GA",13151,2705,28.65,38.11,38.33,3158.09,28.03,10.65
2018-01-01,"Miami-Dade County, FL",12086,31032,30.24,38.34,38.33,3227.87,25.84,11.9
2018-01-01,"Lake County, FL",12069,3368,28.48,38.35,38.58,3249.44,27.28,9.83
2018-01-01,"Alachua County, FL",12001,2733,29.17,38.26,38.41,3189.99,26.97,10.74
2018-01-01,"Gwinnett County, GA",13135,10855,29.89,38.34,38.41,3209.3,26.73,12.24
2018-01-01,"Hernando County, FL",12053,1617,27.94,38.38,38.66,3272.6,26.67,11.21
2018-01-01,"Citrus County, FL",12017,1025,27.49,38.37,38.66,3266.28,27.98,10.36
2018-01-01,"Bibb County, GA",13021,2063,26.92,37.93,38.24,3078.7,28.48,12.17
2018-01-01,"Fulton County, GA",13121,12652,30.02,38.3,38.49,3152.2,26.43,10.98
2018-01-01,"Coweta County, GA",13077,1575,28.65,38.17,38.49,3241.87,27.42,11.62
2018-01-01,"Okaloosa County, FL",12091,2717,28.22,38.28,38.57,3267.95,26.76,12.24
2018-01-01,"Muscogee County, GA",13215,2864,27.32,38.07,38.15,3148.08,27.32,11.53
2018-01-01,"Lee County, AL",01081,1810,28.18,38.24,38.4,3218.48,27.38,12.89
